id,job_title,company_name,location,industry,job_type,min_salary,max_salary,salary_midpoint,salary_bracket,experience_min,experience_max,experience_range,skill_count,skills,date_posted,source,anomaly_flag,dedup_hash,scraped_at
1,Senior Software Architect,Bazaar Technologies,Lahore,Information Technology,Full-time,377296.0,406645.0,391970.5,Senior,7,8,1,9,"Python, SQL, React, Machine Learning, Docker, Django, Deep Learning, MongoDB, Kotlin",2026-03-06,rozee.pk,0,d8620bd5a82186fc151975915fd72037,2026-03-07 17:00:00
2,Junior IT Support Engineer,PTCL,Islamabad,Information Technology,Remote,,,,,0,3,3,7,"Python, React, MongoDB, TensorFlow, Kubernetes, NLP, GCP",2026-03-27,indeed.com.pk,0,725ee24ae8e072c488faeb52fde0bebf,2026-03-28 11:00:00
3,Senior Data Engineer,Creative Chaos,Faisalabad,AI & Data Science,Full-time,,,,,4,7,3,7,"Python, JavaScript, Machine Learning, Docker, Deep Learning, Pandas, NumPy",2026-02-20,rozee.pk,0,b78b20a7f5f75cef82c48d18dcfd6259,2026-02-20 07:00:00
4,Mid Python Developer,Jazz Digital,Islamabad,Information Technology,Remote,137882.0,152475.0,145178.5,Mid,2,6,4,6,"Python, SQL, Node.js, TypeScript, Linux, Tableau",2026-03-25,rozee.pk,0,628f5a3ef0d3e7e84df9da357fe4518f,2026-03-26 10:00:00
5,Mid Cloud Engineer,Tag Innovation,Lahore,Information Technology,Remote,,,,,3,6,3,7,"SQL, AWS, Node.js, TypeScript, MongoDB, LLM, R",2026-03-17,rozee.pk,0,8858e2af813da6a3782b3c0f7d04f054,2026-03-18 00:00:00
6,Senior Quality Assurance Engineer,10Pearls,Lahore,Information Technology,Full-time,,,,,3,5,2,5,"Python, AWS, Data Science, Kubernetes, Azure",2026-02-04,rozee.pk,0,22c359d166b452923d4da2690457218e,2026-02-05 01:00:00
7,Junior Quality Assurance Engineer,Devsinc,Lahore,Information Technology,Remote,,,,,2,5,3,5,"SQL, JavaScript, Django, MongoDB, LLM",2026-03-18,rozee.pk,0,1d8a51f50bdbcc568eec683c0095bcb7,2026-03-18 01:00:00
8,Junior Data Engineer,i2c Inc,Islamabad,AI & Data Science,Full-time,105269.0,116914.0,111091.5,Junior,6,10,4,8,"Python, SQL, JavaScript, Machine Learning, Data Science, TensorFlow, NumPy, Computer Vision",2026-02-23,indeed.com.pk,0,4075caf9a42fed3d239abbe6caf8db0e,2026-02-25 00:00:00
9,Senior Systems Analyst,ScientiaMobile,Faisalabad,Information Technology,Full-time,163303.0,184317.0,173810.0,Mid,2,6,4,5,"MySQL, NLP, Pandas, Azure, GCP",2026-02-26,rozee.pk,0,8add9b5ce1154309c2b99be335e9d160,2026-02-27 01:00:00
10,Senior AI Engineer,HBL Systems,Lahore,AI & Data Science,Full-time,370550.0,408412.0,389481.0,Senior,3,6,3,7,"Python, React, Machine Learning, Node.js, Git, Data Science, PostgreSQL",2026-03-28,indeed.com.pk,0,aaac06cd5d556fa7a6fbf47f7c4d3ce3,2026-03-29 05:00:00
11,Junior Game Developer,Habib Metro,Lahore,Game Development,Full-time,91689.0,117196.0,104442.5,Junior,5,8,3,5,"Python, Node.js, DevOps, Flutter, Kotlin",2026-03-13,indeed.com.pk,0,7d6dea112eb87bba83fc50d3192e8391,2026-03-14 15:00:00
12,Senior Game Developer,NETSOL ERP,Lahore,Game Development,Full-time,12000.0,22000.0,17000.0,Entry,3,7,4,7,"Python, JavaScript, Node.js, MySQL, REST API, Deep Learning, Azure",2026-01-12,rozee.pk,1,4815409363dd0b7dcf4e2f0d3f015470,2026-01-13 13:00:00
13,Junior Python Developer,Telenor Pakistan,Karachi,Information Technology,Remote,63495.0,94295.0,78895.0,Junior,5,9,4,11,"React, Machine Learning, AWS, Data Science, TypeScript, PHP, MongoDB, CI/CD, Flutter, Kotlin, Spark",2026-03-24,indeed.com.pk,0,daf0b450429ee5b4629e322468096d53,2026-03-25 06:00:00
